Date,Open,High,Low,Close,Adj Close,Volume
8/14/2017,8325,8350,8250,8250,7056.326172,2446300
8/15/2017,8300,8350,8225,8325,7120.474609,2245000
8/16/2017,8275,8375,8275,8375,7163.240234,4965000
8/17/2017,8375,8375,8375,8375,7163.240234,0
8/18/2017,8300,8450,8300,8400,7184.623047,3986300
8/21/2017,8300,8375,8275,8300,7099.091797,3944700
8/22/2017,8400,8400,8300,8325,7120.474609,4511500
8/23/2017,8375,8375,8275,8350,7141.857422,4373400
8/24/2017,8275,8425,8275,8400,7184.623047,4660700
8/25/2017,8400,8600,8400,8600,7355.685547,6548800
8/28/2017,8600,8625,8500,8625,7377.067871,1562800
8/29/2017,8625,8700,8525,8675,7419.833984,3673100
8/30/2017,8675,8700,8550,8675,7419.833984,5397500
8/31/2017,8650,8650,8375,8375,7163.240234,7684600
9/1/2017,8375,8375,8375,8375,7163.240234,0
9/4/2017,8400,8450,8350,8375,7163.240234,4531000
9/5/2017,8375,8400,8275,8375,7163.240234,3513700
9/6/2017,8375,8400,8300,8375,7163.240234,4532000
9/7/2017,8350,8550,8325,8525,7291.537598,4356300
9/8/2017,8550,8675,8525,8650,7398.451172,5785600
9/11/2017,8650,8700,8575,8600,7355.685547,3978600
9/12/2017,8650,8700,8575,8700,7441.217285,4194200
9/13/2017,8700,8700,8575,8575,7334.303223,2842700
9/14/2017,8550,8575,8500,8525,7291.537598,4132100
9/15/2017,8525,8575,8425,8500,7270.154297,11066600
9/18/2017,8500,8600,8450,8475,7248.771484,3842600
9/19/2017,8475,8600,8400,8575,7334.303223,7630800
9/20/2017,8550,8725,8500,8725,7462.599609,6021600
9/21/2017,8725,8725,8725,8725,7462.599609,0
9/22/2017,8750,8750,8525,8525,7291.537598,9517400
9/25/2017,8525,8625,8525,8625,7377.067871,2846600
9/26/2017,8600,8600,8475,8525,7291.537598,5980400
9/27/2017,8550,8550,8450,8550,7312.919922,7354500
9/28/2017,8575,8575,8400,8400,7184.623047,6959900
9/29/2017,8425,8575,8425,8425,7206.005859,7300700
10/2/2017,8450,8550,8450,8550,7312.919922,3636400
10/3/2017,8550,8675,8500,8600,7355.685547,7394100
10/4/2017,8675,8675,8525,8600,7355.685547,2437300
10/5/2017,8600,8625,8425,8425,7206.005859,10440500
10/6/2017,8425,8500,8400,8400,7184.623047,5878000
10/9/2017,8400,8425,8325,8400,7184.623047,9358800
10/10/2017,8400,8425,8350,8425,7206.005859,5187400
10/11/2017,8400,8425,8275,8375,7163.240234,9194200
10/12/2017,8350,8450,8350,8400,7184.623047,7717900
10/13/2017,8400,8400,8325,8325,7120.474609,17438600
10/16/2017,8325,8375,8250,8325,7120.474609,6637200
10/17/2017,8325,8350,8200,8250,7056.326172,7392100
10/18/2017,8250,8325,8175,8325,7120.474609,5620100
10/19/2017,8325,8325,8150,8150,6970.79541,6156900
10/20/2017,8225,8300,8175,8225,7034.942871,3576900
10/23/2017,8250,8400,8250,8350,7141.857422,4812800
10/24/2017,8400,8450,8325,8400,7184.623047,5353100
10/25/2017,8350,8475,8350,8475,7248.771484,4369200
10/26/2017,8450,8500,8225,8475,7248.771484,11333500
10/27/2017,8475,8475,8250,8250,7056.326172,6246400
10/30/2017,8325,8325,8150,8150,6970.79541,6944500
10/31/2017,8300,8300,8200,8200,7013.560059,6001300
11/1/2017,8275,8300,8200,8200,7013.560059,5341700
11/2/2017,8175,8325,8100,8100,6928.030273,6435600
11/3/2017,8150,8250,8100,8225,7034.942871,5582300
11/6/2017,8250,8250,8175,8200,7013.560059,4338100
11/7/2017,8225,8225,8025,8125,6949.412598,13398500
11/8/2017,8125,8150,8050,8075,6906.646973,5650000
11/9/2017,8100,8100,7950,7950,6799.73291,11225200
11/10/2017,8050,8100,8000,8025,6863.881348,10264200
11/13/2017,8025,8075,7950,7950,6799.73291,6142600
11/14/2017,8000,8050,7950,7950,6799.73291,2857300
11/15/2017,8000,8025,7875,7875,6735.583984,4615700
11/16/2017,7850,7900,7750,7750,6628.669922,10602100
11/17/2017,7775,7925,7750,7800,6671.435547,13645600
11/20/2017,7875,7975,7800,7800,6671.435547,9330600
11/21/2017,7775,7825,7700,7725,6607.287598,9885300
11/22/2017,7675,7800,7675,7725,6607.287598,7497000
11/23/2017,7775,7900,7725,7800,6671.435547,10216400
11/24/2017,7750,7775,7675,7700,6585.904785,9343400
11/27/2017,7750,7825,7700,7825,6692.818848,12473100
11/28/2017,7850,7850,7650,7700,6585.904785,14653400
11/29/2017,7700,7750,7600,7600,6500.373047,11133500
11/30/2017,7550,7675,7325,7325,6265.162598,27027000
12/1/2017,7325,7325,7325,7325,6265.162598,0
12/4/2017,7500,7525,7300,7300,6243.779785,14221600
12/5/2017,7400,7400,7275,7300,6243.779785,13366800
12/6/2017,7350,7400,7300,7325,6265.162598,8356500
12/7/2017,7300,7400,7300,7325,6265.162598,8866800
12/8/2017,7400,7425,7300,7375,6307.928223,9393400
12/11/2017,7400,7425,7350,7375,6307.928223,6757400
12/12/2017,7350,7400,7275,7350,6286.544922,12214700
12/13/2017,7350,7475,7325,7475,6393.459473,18456700
12/14/2017,7475,7675,7475,7525,6436.225098,15601800
12/15/2017,7525,7525,7400,7450,6372.076172,16750900
12/18/2017,7400,7500,7375,7500,6414.842285,9181300
12/19/2017,7500,7700,7475,7650,6543.138672,15706100
12/20/2017,7650,7700,7425,7550,6457.607422,14606300
12/21/2017,7525,7600,7475,7600,6500.373047,10857700
12/22/2017,7600,7625,7575,7625,6521.756348,4686000
12/25/2017,7625,7625,7625,7625,6521.756348,0
12/26/2017,7625,7625,7625,7625,6521.756348,0
12/27/2017,7625,7625,7575,7625,6521.756348,3274600
12/28/2017,7650,7700,7600,7700,6585.904785,10295800
12/29/2017,7700,7775,7600,7625,6521.756348,12848100
1/1/2018,7625,7625,7625,7625,6521.756348,0
1/2/2018,7650,7700,7550,7550,6457.607422,6875700
1/3/2018,7600,7700,7600,7650,6543.138672,11532300
1/4/2018,7650,7725,7600,7725,6607.287598,6861700
1/5/2018,7700,7700,7625,7675,6564.521973,8060200
1/8/2018,7700,7875,7700,7850,6714.20166,13357200
1/9/2018,7825,7850,7775,7825,6692.818848,13531800
1/10/2018,7875,7875,7800,7825,6692.818848,9997600
1/11/2018,7800,7875,7750,7875,6735.583984,5038700
1/12/2018,7875,7900,7800,7850,6714.20166,8527900
1/15/2018,7850,7875,7775,7800,6671.435547,2802200
