Date,Open,High,Low,Close,Adj Close,Volume
8/25/2017,8000,8000,7950,8000,7059.724609,14260900
8/28/2017,7975,8025,7950,8000,7059.724609,13320400
8/29/2017,7925,7950,7825,7900,6971.478027,23577800
8/30/2017,7900,7950,7850,7875,6949.416992,19964000
8/31/2017,7850,7925,7850,7875,6949.416992,16196800
9/1/2017,7875,7875,7875,7875,6949.416992,0
9/4/2017,7925,7925,7750,7750,6839.108398,25464400
9/5/2017,7650,7825,7650,7800,6883.230957,32642400
9/6/2017,7725,7850,7725,7825,6905.292969,21294500
9/7/2017,7725,7725,7625,7650,6750.861816,66835400
9/8/2017,7700,7850,7700,7825,6905.292969,21174500
9/11/2017,7900,7950,7875,7900,6971.478027,23092100
9/12/2017,7900,7925,7875,7900,6971.478027,20592600
9/13/2017,7900,7925,7875,7900,6971.478027,18785000
9/14/2017,7900,7950,7875,7900,6971.478027,23106600
9/15/2017,7850,7900,7800,7850,6927.354492,68407700
9/18/2017,7900,7900,7825,7850,6927.354492,13151900
9/19/2017,7850,7925,7775,7925,6993.539063,29776800
9/20/2017,7900,7925,7775,7825,6905.292969,29674000
9/21/2017,7825,7825,7825,7825,6905.292969,0
9/22/2017,7750,7825,7725,7775,6861.169922,26283500
9/25/2017,7775,7825,7725,7800,6883.230957,11458400
9/26/2017,7750,7850,7750,7800,6883.230957,24368000
9/27/2017,7825,7850,7775,7825,6905.292969,26298600
9/28/2017,7800,7850,7700,7700,6794.983887,39139000
9/29/2017,7725,7950,7725,7900,6971.478027,46487800
10/2/2017,7900,7950,7875,7925,6993.539063,9926400
10/3/2017,7900,8025,7800,8000,7109.061523,21948000
10/4/2017,8000,8050,7975,8000,7109.061523,13975000
10/5/2017,8025,8025,7925,7950,7064.629395,14579200
10/6/2017,8025,8025,7950,7975,7086.845703,22631900
10/9/2017,8000,8025,7975,7975,7086.845703,6730400
10/10/2017,7950,8025,7950,7975,7086.845703,20537300
10/11/2017,7975,8025,7900,8025,7131.277344,21573000
10/12/2017,8050,8200,8025,8200,7286.787598,22737500
10/13/2017,8175,8475,8150,8475,7531.161621,41940300
10/16/2017,8475,8525,8275,8375,7442.298828,26598000
10/17/2017,8300,8325,8100,8250,7331.220215,37010200
10/18/2017,8150,8200,8025,8050,7153.493164,32143300
10/19/2017,8050,8100,7925,7925,7042.413574,32412000
10/20/2017,8000,8150,7950,8000,7109.061523,24764300
10/23/2017,8000,8150,8000,8050,7153.493164,12519500
10/24/2017,8000,8200,8000,8175,7264.572754,14194000
10/25/2017,8200,8200,8050,8150,7242.356445,31668600
10/26/2017,8150,8150,7975,8000,7109.061523,21507300
10/27/2017,7975,8075,7900,7900,7020.198242,25414900
10/30/2017,7950,8025,7900,8000,7109.061523,20373600
10/31/2017,8075,8075,8000,8000,7109.061523,20477100
11/1/2017,8000,8100,8000,8075,7175.709473,20372200
11/2/2017,8100,8200,8075,8150,7242.356445,27319900
11/3/2017,8150,8150,8025,8100,7197.925293,18109000
11/6/2017,8075,8125,8050,8075,7175.709473,13226900
11/7/2017,8075,8200,8050,8200,7286.787598,14733300
11/8/2017,8150,8300,8100,8300,7375.651367,17351000
11/9/2017,8300,8325,8225,8275,7353.435059,19154200
11/10/2017,8225,8425,8200,8350,7420.083008,21907200
11/13/2017,8350,8375,8300,8350,7420.083008,19112700
11/14/2017,8350,8375,8275,8300,7375.651367,30370500
11/15/2017,8300,8300,8150,8175,7264.572754,27970500
11/16/2017,8200,8300,8175,8250,7331.220215,18888400
11/17/2017,8300,8325,8200,8200,7286.787598,18047300
11/20/2017,8300,8300,8200,8200,7286.787598,15859900
11/21/2017,8175,8250,8075,8125,7220.141113,20031300
11/22/2017,8150,8450,8150,8450,7508.946777,44718900
11/23/2017,8500,8500,8400,8475,7531.161621,22538000
11/24/2017,8400,8550,8375,8550,7597.80957,16053600
11/27/2017,8475,8600,8450,8525,7575.59375,29480600
11/28/2017,8450,8450,8350,8375,7442.298828,37782300
11/29/2017,8375,8400,8325,8350,7420.083008,20756600
11/30/2017,8300,8350,7975,7975,7086.845703,66309200
12/1/2017,7975,7975,7975,7975,7086.845703,0
12/4/2017,8175,8300,8100,8100,7197.925293,42133200
12/5/2017,8125,8300,8125,8200,7286.787598,28286400
12/6/2017,8150,8475,8150,8350,7420.083008,35433100
12/7/2017,8350,8375,8275,8300,7375.651367,13232000
12/8/2017,8250,8325,8225,8250,7331.220215,10274500
12/11/2017,8250,8450,8250,8400,7464.515137,16605000
12/12/2017,8450,8450,8175,8200,7286.787598,35361100
12/13/2017,8175,8200,8075,8100,7197.925293,29885700
12/14/2017,8200,8350,8150,8325,7397.867188,32461700
12/15/2017,8325,8325,8200,8300,7375.651367,27656800
12/18/2017,8200,8275,8075,8175,7264.572754,24673600
12/19/2017,8150,8200,8125,8175,7264.572754,18550800
12/20/2017,8150,8175,7975,8000,7109.061523,38299700
12/21/2017,8050,8175,8025,8100,7197.925293,15656700
12/22/2017,8100,8200,8075,8200,7286.787598,15451000
12/25/2017,8200,8200,8200,8200,7286.787598,0
12/26/2017,8200,8200,8200,8200,7286.787598,0
12/27/2017,8200,8225,8125,8150,7242.356445,28066200
12/28/2017,8200,8200,8025,8050,7153.493164,43106600
12/29/2017,8150,8350,8100,8300,7375.651367,89127600
1/1/2018,8300,8300,8300,8300,7375.651367,0
1/2/2018,8300,8400,8150,8200,7286.787598,24661300
1/3/2018,8250,8250,8000,8050,7153.493164,40976100
1/4/2018,8075,8225,8050,8225,7309.003906,30604400
1/5/2018,8150,8300,8125,8300,7375.651367,18885300
1/8/2018,8300,8325,8200,8300,7375.651367,17178400
1/9/2018,8300,8300,8150,8175,7264.572754,23323800
1/10/2018,8275,8300,8175,8275,7353.435059,29616100
